entrez_gene_id	gene_symbol	association_score	breast cancer	carcinoid	cervical cancer	colorectal cancer	endometrial cancer	glioma	head and neck cancer	liver cancer	lung cancer	lymphoma	melanoma	ovarian cancer	pancreatic cancer	prostate cancer	renal cancer	skin cancer	stomach cancer	testis cancer	thyroid cancer	urothelial cancer	adrenal gland_glandular cells	appendix_glandular cells	appendix_lymphoid tissue	bone marrow_hematopoietic cells	breast_adipocytes	breast_glandular cells	breast_myoepithelial cells	bronchus_respiratory epithelial cells	cerebellum_cells in granular layer	cerebellum_cells in molecular layer	cerebellum_Purkinje cells	cerebral cortex_endothelial cells	cerebral cortex_glial cells	cerebral cortex_neuronal cells	cerebral cortex_neuropil	"cervix, uterine_glandular cells"	"cervix, uterine_squamous epithelial cells"	colon_endothelial cells	colon_glandular cells	colon_peripheral nerve/ganglion	duodenum_glandular cells	epididymis_glandular cells	esophagus_squamous epithelial cells	fallopian tube_glandular cells	gallbladder_glandular cells	heart muscle_myocytes	hippocampus_glial cells	hippocampus_neuronal cells	kidney_cells in glomeruli	kidney_cells in tubules	lateral ventricle_glial cells	lateral ventricle_neuronal cells	liver_bile duct cells	liver_hepatocytes	lung_macrophages	lung_pneumocytes	lymph node_germinal center cells	lymph node_non-germinal center cells	nasopharynx_respiratory epithelial cells	oral mucosa_squamous epithelial cells	ovary_ovarian stroma cells	pancreas_exocrine glandular cells	pancreas_islets of Langerhans	parathyroid gland_glandular cells	placenta_decidual cells	placenta_trophoblastic cells	prostate_glandular cells	rectum_glandular cells	salivary gland_glandular cells	seminal vesicle_glandular cells	skeletal muscle_myocytes	skin 1_fibroblasts	skin 1_keratinocytes	skin 1_Langerhans	skin 1_melanocytes	skin 2_epidermal cells	small intestine_glandular cells	smooth muscle_smooth muscle cells	soft tissue 1_adipocytes	soft tissue 1_fibroblasts	soft tissue 1_peripheral nerve	soft tissue 2_adipocytes	soft tissue 2_fibroblasts	soft tissue 2_peripheral nerve	spleen_cells in red pulp	spleen_cells in white pulp	stomach 1_glandular cells	stomach 2_glandular cells	testis_cells in seminiferous ducts	testis_Leydig cells	thyroid gland_glandular cells	tonsil_germinal center cells	tonsil_non-germinal center cells	tonsil_squamous epithelial cells	urinary bladder_urothelial cells	uterus 1_cells in endometrial stroma	uterus 1_glandular cells	uterus 2_cells in endometrial stroma	uterus 2_glandular cells	vagina_squamous epithelial cells	ovary_follicle cells	soft tissue 1_chondrocytes	soft tissue 2_chondrocytes
1019	CDK4	0.432005415	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	Medium	Medium	Medium	Low	Medium	Medium	High	Medium	Medium	High	Not detected	Medium	Medium	High	Medium	Medium	Low	Medium	Low	Not detected	Low	NA	Medium	Medium	High	Medium	High	Medium	High	High	Medium	Low	Low	Not detected	High	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	High	High	Medium	Medium	Medium	Low	High	High	High	Medium	High	Medium	Medium	Medium	High	Medium	Medium	Medium	Medium	Medium	Medium	Low	Medium	Not detected	Low	Medium	Medium	High	Medium	Medium	Low	Medium	Medium	High	Medium	High	Medium	Medium	Medium	Medium	Medium	Medium	High	NA	NA	NA
10802	SEC24A	0.353201726	Low	Medium	Medium	Medium	Low	Low	Low	Low	Low	Low	Low	Medium	Low	Medium	Low	Low	Low	Medium	Low	Low	Medium	Low	Medium	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Low	NA	Medium	Medium	Low	Low	Medium	Not detected	Not detected	Not detected	Medium	Low	Not detected	Not detected	Not detected	Low	Low	Not detected	Medium	Medium	Low	Medium	Not detected	Medium	Low	Not detected	NA	Medium	Medium	Medium	Low	Low	Not detected	Low	Not detected	Not detected	Low	Not detected	Medium	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	NA	Not detected	Low	Low	Medium	Medium	Low	Low	Medium	Medium	Low	Not detected	Not detected	Low	Low	Medium	Low	NA	NA	Not detected
6774	STAT3	0.328980242	Medium	Medium	Medium	Low	Low	Medium	Medium	Low	Low	Medium	Low	Low	Low	Medium	Medium	Low	Medium	Low	Medium	Medium	Low	Medium	Medium	High	Not detected	Medium	Medium	Medium	Not detected	Low	Low	Low	Low	Not detected	Not detected	Low	Not detected	Medium	Low	Medium	Medium	Medium	Medium	Medium	Medium	Not detected	Low	Not detected	Low	Medium	Low	Not detected	Not detected	Not detected	Medium	High	Medium	Low	Medium	Medium	Low	Low	Low	Low	Medium	Low	Medium	Medium	Low	Not detected	Low	Medium	Medium	Low	Medium	Medium	Low	Not detected	Medium	Not detected	Medium	Medium	Not detected	Medium	Medium	Not detected	Medium	Medium	Medium	Low	Medium	Medium	Medium	Medium	Medium	Medium	Not detected	Medium	Low	Medium	NA	NA	NA
2885	GRB2	0.315096608	Medium	Low	Low	Medium	Low	High	Medium	Medium	Low	High	Low	Low	Low	Low	Low	Low	Medium	Low	Medium	Medium	Low	Low	High	Medium	Not detected	Medium	Medium	Low	Medium	Medium	High	Not detected	Low	Medium	Low	Low	Not detected	Medium	Medium	NA	Medium	Medium	Low	Medium	Medium	Not detected	Low	Medium	Medium	Low	Medium	Medium	Low	Low	Medium	Low	High	High	Medium	Medium	Medium	Low	Medium	Low	High	Medium	Low	Low	Low	Low	Low	Not detected	Low	Low	Low	Medium	Medium	Low	Medium	Not detected	NA	Medium	Not detected	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	High	Low	Medium	Medium	Medium	Medium	Low	Low	NA	NA	NA
1031	CDKN2C	0.306405306	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Low	Medium	Medium	Medium	Medium	High	Medium	Medium	Low	Low	Medium	Medium	Medium	Medium	Medium	High	Medium	Low	Medium	Medium	Low	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	Low	High	Low	Medium	Medium	Medium	Low	Medium	Medium	Low	Medium	Medium	Medium	Medium	Not detected	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Low	Medium	Low	Medium	Medium	Medium	Medium	Low	Low	Low	Low	Low	Low	Low	Medium	Medium	High	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Not detected	Medium	Not detected	Medium	Medium	High	Low	NA
93487	MAPK1IP1L	0.271784461	Medium	High	Medium	Medium	Medium	Medium	High	Medium	Medium	Medium	Medium	High	Medium	Medium	Low	Medium	Medium	Medium	Medium	Medium	High	Medium	High	Medium	NA	NA	NA	Medium	Medium	Not detected	Low	Medium	Low	Medium	Medium	High	High	High	High	Medium	Medium	Medium	Medium	High	High	Low	Not detected	Medium	Low	High	Not detected	Low	Medium	Not detected	Medium	Low	NA	Medium	Medium	Medium	Medium	High	Medium	High	NA	High	Medium	High	Medium	Medium	Not detected	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Low	Medium	Low	Low	Not detected	Low	Medium	High	Medium	Medium	High	High	High	High	High	Medium	Medium	Medium	High	Medium	High	Medium	Medium	NA	High
63898	SH2D4A	0.24624315	Medium	Low	Low	Medium	Medium	Low	Low	High	Low	Low	Low	Low	Low	Medium	Low	Low	Low	Low	Medium	Low	Not detected	Medium	Not detected	Not detected	Not detected	Medium	Medium	Medium	Low	Not detected	Low	Not detected	Medium	Not detected	Medium	Medium	Not detected	Low	Medium	Low	Medium	Low	Low	Medium	Medium	Low	Medium	Not detected	Not detected	High	Low	Not detected	Medium	High	Low	Low	NA	Not detected	Medium	Low	Low	High	Low	High	Low	High	Low	Medium	Medium	Medium	Not detected	Low	Low	Not detected	Medium	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Medium	Low	Medium	Low	Not detected	Not detected	Not detected	Medium	Low	Medium	Low	Medium	Not detected	High	Medium	NA
4670	HNRNPM	0.228755397	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Not detected	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	NA	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	NA	High
91647	ATPAF2	0.21776548	High	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	High	Medium	Low	Medium	Medium	High	Medium	High	Medium	Low	Low	Not detected	Medium	Medium	Medium	Medium	Medium	Medium	Not detected	Medium	Medium	Medium	Low	Medium	Not detected	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	Medium	Medium	Not detected	High	Low	Low	Medium	High	Medium	Low	Low	Medium	Medium	Low	Low	High	Medium	High	High	Medium	Medium	Medium	Medium	Low	Medium	NA	NA	NA	NA	Low	Medium	Not detected	Not detected	Medium	NA	Not detected	Not detected	Not detected	Low	Low	Medium	Medium	Medium	Medium	High	Medium	Medium	Medium	High	Not detected	Medium	Low	Medium	Low	NA	NA	NA
1656	DDX6	0.213809644	Low	Medium	Low	Low	Low	Low	Medium	Medium	Medium	Low	Low	Low	Medium	Medium	Medium	Medium	Medium	Medium	Low	Medium	Low	High	Medium	Medium	Low	Medium	Low	Medium	Medium	Medium	Low	Medium	Medium	Medium	Not detected	Low	Medium	Medium	High	Medium	High	Medium	High	Medium	High	Medium	Low	Low	Low	Medium	Low	Low	Low	Medium	Low	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	Medium	Low	Low	Medium	Medium	Medium	Medium	Medium	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Medium	Low	Medium	High	High	High	High	Low	High	Not detected	Medium	Medium	High	Low	NA
