entrezgene_id,symbol,pathway,GO_ID
11065,UBE2C,APC,GO:0005680
701,BUB1B,APC,GO:0005680
996,CDC27,APC,GO:0005680
25906,ANAPC15,APC,GO:0005680
991,CDC20,APC,GO:0005680
8881,CDC16,APC,GO:0005680
9820,CUL7,APC,GO:0005680
27338,UBE2S,APC,GO:0005680
246184,CDC26,APC,GO:0005680
119504,ANAPC16,APC,GO:0005680
25847,ANAPC13,APC,GO:0005680
64682,ANAPC1,APC,GO:0005680
51529,ANAPC11,APC,GO:0005680
10459,MAD2L2,APC,GO:0005680
8697,CDC23,APC,GO:0005680
51434,ANAPC7,APC,GO:0005680
51433,ANAPC5,APC,GO:0005680
29945,ANAPC4,APC,GO:0005680
29882,ANAPC2,APC,GO:0005680
51343,FZR1,APC,GO:0005680
10393,ANAPC10,APC,GO:0005680
3398,ID2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8379,MAD1L1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
79733,E2F8,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10519,CIB1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1263,PLK3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
2255,FGF10,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8812,CCNK,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
6280,MIF,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1025,CDK9,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4193,MDM2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7023,TFAP4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10795,ZNF268,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
6419,SETMAR,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
51085,MLXIPL,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
