entrez_gene_id	gene_symbol
4300	MLLT3
4301	MLLT4
55729	ATF7IP
4026	LPP
57680	CHD8
116443	GRIN3A
9774	BCLAF1
9776	ATG13
4780	NFE2L2
92	ACVR2A
4149	MAX
7307	U2AF1
55294	FBXW7
3550	IK
4145	MATK
7514	XPO1
84306	PDCD2L
142684	RAB40A
2175	FANCA
84433	CARD11
1499	CTNNB1
7124	TNF
7048	TGFBR2
26040	SETBP1
84444	DOT1L
10197	PSME3
6794	STK11
10963	STIP1
283149	BCL9L
2316	FLNA
57835	SLC4A5
6654	SOS1
2312	FLG
253639	ZNF620
1660	DHX9
378938	MALAT1
6597	SMARCA4
6598	SMARCB1
8239	USP9X
57117	INTS12
253959	RALGAPA1
11137	PWP1
273	AMPH
64682	ANAPC1
196528	ARID2
57616	TSHZ3
1107	CHD3
80204	FBXO11
161725	OTUD7A
55914	ERBB2IP
1019	CDK4
2263	FGFR2
91181	NUP210L
8731	RNMT
4215	MAP3K3
4214	MAP3K1
4216	MAP3K4
57573	ZNF471
115209	OMA1
6932	TCF7
6934	TCF7L2
59277	NTN4
102	ADAM10
23541	SEC14L2
100132406	NBPF10
107	ADCY1
8289	ARID1A
23253	ANKRD12
2042	EPHA3
148022	TICAM1
79959	CEP76
6507	SLC1A3
641	BLM
25878	MXRA5
9414	TJP2
57505	AARS2
114826	SMYD4
23327	NEDD4L
10142	AKAP9
54558	SPATA6
10146	G3BP1
4627	MYH9
54880	BCOR
2201	FBN2
10618	TGOLN2
23244	PDS5A
9321	TRIP11
730051	ZNF814
22974	TPX2
54959	ODAM
64780	MICAL1
5903	RANBP2
23394	ADNP
25909	AHCTF1
90060	CCDC120
285382	C3orf70
10290	SPEG
221037	JMJD1C
9743	ARHGAP32
91	ACVR1B
10243	GPHN
93	ACVR2B
127845	GOLT1A
4176	MCM7
10847	SRCAP
1999	ELF3
90167	FRMD7
26278	SACS
22881	ANKRD6
8831	SYNGAP1
5885	RAD21
3636	INPPL1
7376	NR1H2
7175	TPR
5717	PSMD11
238	ALK
81786	TRIM7
4613	MYCN
4615	MYD88
1050	CEBPA
57716	PRX
5450	POU2AF1
3801	KIFC3
5452	POU2F2
6103	RPGR
5925	RB1
255220	TXNDC8
115701	ALPK2
4313	MMP2
406934	MIR142
10721	POLQ
9444	QKI
9440	MED17
5537	PPP6C
10051	SMC4
8242	KDM5C
8243	SMC1A
8241	RBM10
8794	TNFRSF10C
3707	ITPKB
2122	MECOM
80155	NAA15
1289	COL5A1
8764	TNFRSF14
8761	PABPC4
79718	TBL1XR1
80781	COL18A1
79710	MORC4
7187	TRAF3
9817	KEAP1
9202	ZMYM4
114548	NLRP3
196513	DCP1B
3417	IDH1
135	ADORA2A
23613	ZMYND8
124404	12-Sep
6840	SVIL
3418	IDH2
22837	COBLL1
25	ABL1
9839	ZEB2
5580	PRKCD
54855	FAM46C
5624	PROC
3792	KEL
